"state","city","name","alternativeNames"
"AL","Mobile","Mobile - AL",
"AL","Monroeville","Monroeville - AL",
"AL","Montevallo","Montevallo - AL",
"AL","Montgomery","Montgomery - AL",
"AL","Morris","Morris - AL",
"AL","Morvin","Morvin - AL",
"AL","Moulton","Moulton - AL",
"AL","Mount Hope","Mount Hope - AL",
"AL","Mount Olive","Mount Olive - AL",
"AL","Mount Vernon","Mount Vernon - AL",
"AL","Mountain Brook","Mountain Brook - AL",
"AL","Munford","Munford - AL",
"AL","Muscadine","Muscadine - AL",
"AL","Muscle Shoals","Muscle Shoals - AL",
"AL","Napier Field","Napier Field - AL",
"AL","Nauvoo","Nauvoo - AL",
"AL","Needham","Needham - AL",
"AL","New Brockton","New Brockton - AL",
"AL","New Hope","New Hope - AL",
"AL","New Market","New Market - AL",
"AL","New Site","New Site - AL",
"AL","Newbern","Newbern - AL",
"AL","Newell","Newell - AL",
"AL","Newton","Newton - AL",
"AL","Newville","Newville - AL",
"AL","Northport","Northport - AL",
"AL","Notasulga","Notasulga - AL",
"AL","Oakman","Oakman - AL",
"AL","Odenville","Odenville - AL",
"AL","Ohatchee","Ohatchee - AL",
"AL","Oneonta","Oneonta - AL",
"AL","Opelika","Opelika - AL",
"AL","Opp","Opp - AL",
"AL","Orange Beach","Orange Beach - AL",
"AL","Orrville","Orrville - AL",
"AL","Oxford","Oxford - AL",
"AL","Ozark","Ozark - AL",
"AL","Paint Rock","Paint Rock - AL",
"AL","Pansey","Pansey - AL",
"AL","Parrish","Parrish - AL",
"AL","Pell City","Pell City - AL",
"AL","Pennington","Pennington - AL",
"AL","Perdido","Perdido - AL",
"AL","Perote","Perote - AL",
"AL","Peterman","Peterman - AL",
"AL","Phenix City","Phenix City - AL",
"AL","Phil Campbell","Phil Campbell - AL",
"AL","Piedmont","Piedmont - AL",
"AL","Pike Road","Pike Road - AL",
"AL","Pine Apple","Pine Apple - AL",
"AL","Pine Hill","Pine Hill - AL",
"AL","Pisgah","Pisgah - AL",
"AL","Pittsview","Pittsview - AL",
"AL","Plantersville","Plantersville - AL",
"AL","Pleasant Grove","Pleasant Grove - AL",
"AL","Prairie","Prairie - AL",
"AL","Prattville","Prattville - AL",
"AL","Prichard","Prichard - AL",
"AL","Princeton","Princeton - AL",
"AL","Quinton","Quinton - AL",
"AL","Ragland","Ragland - AL",
"AL","Rainsville","Rainsville - AL",
"AL","Ralph","Ralph - AL",
"AL","Ramer","Ramer - AL",
"AL","Ranburne","Ranburne - AL",
"AL","Randolph","Randolph - AL",
"AL","Range","Range - AL",
"AL","Red Bay","Red Bay - AL",
"AL","Red Level","Red Level - AL",
"AL","Reform","Reform - AL",
"AL","Remlap","Remlap - AL",
"AL","Repton","Repton - AL",
"AL","Riverside","Riverside - AL",
"AL","Robertsdale","Robertsdale - AL",
"AL","Rock Mills","Rock Mills - AL",
